realization;time;v_parallel_sq;v_perp_sq;E
0;0;0.008107328337;0.01007017263;282.476736
0;0.15;0.008205277192;0.0100211982;282.476736
0;0.3;0.008279678407;0.009983997595;282.476736
0;0.45;0.008380317817;0.009933677891;282.476736
0;0.6;0.008451989574;0.009897842012;282.476736
0;0.75;0.008533882415;0.009856895592;282.476736
0;0.9;0.008602603958;0.00982253482;282.476736
0;1.05;0.008631868179;0.00980790271;282.476736
0;1.2;0.0086430395;0.009802317049;282.476736
0;1.35;0.008717390854;0.009765141372;282.476736
0;1.5;0.008745288549;0.009751192525;282.476736
0;1.65;0.008777821177;0.009734926211;282.476736
0;1.8;0.008760862197;0.009743405701;282.476736
0;1.95;0.008790941951;0.009728365824;282.476736
0;2.1;0.008858572538;0.00969455053;282.476736
0;2.25;0.008857077539;0.00969529803;282.476736
0;2.4;0.008839293013;0.009704190293;282.476736
0;2.55;0.008870338044;0.009688667777;282.476736
0;2.7;0.008910937433;0.009668368083;282.476736
0;2.85;0.008910338149;0.009668667725;282.476736
0;3;0.008956117416;0.009645778091;282.476736
0;3.15;0.008925798919;0.00966093734;282.476736
0;3.3;0.008937079502;0.009655297048;282.476736
0;3.45;0.008993901319;0.009626886139;282.476736
0;3.6;0.00903462793;0.009606522834;282.476736
0;3.75;0.009050032317;0.009598820641;282.476736
0;3.9;0.009054630107;0.009596521746;282.476736
0;4.05;0.009075320876;0.009586176361;282.476736
0;4.2;0.009044440558;0.00960161652;282.476736
0;4.35;0.009072137062;0.009587768268;282.476736
0;4.5;0.009084404309;0.009581634645;282.476736
0;4.65;0.009110597044;0.009568538277;282.476736
0;4.8;0.009133067173;0.009557303213;282.476736
0;4.95;0.009120293223;0.009563690188;282.476736
