realization;time;v_parallel_sq;v_perp_sq;E
0;0;0.007998581336;0.009965499849;44.68732966
0;0.3;0.008050188807;0.009939696114;44.68732966
0;0.6;0.008000377022;0.009964602007;44.68732966
0;0.9;0.008156915997;0.009886332519;44.68732966
0;1.2;0.008294893023;0.009817344006;44.68732966
0;1.5;0.008348262102;0.009790659467;44.68732966
0;1.8;0.008451824001;0.009738878517;44.68732966
0;2.1;0.008518432151;0.009705574442;44.68732966
0;2.4;0.008610362261;0.009659609387;44.68732966
0;2.7;0.008705317382;0.009612131827;44.68732966
0;3;0.008788398523;0.009570591256;44.68732966
0;3.3;0.008787279152;0.009571150942;44.68732966
0;3.6;0.008869509124;0.009530035956;44.68732966
0;3.9;0.008859891291;0.009534844872;44.68732966
0;4.2;0.008845752955;0.00954191404;44.68732966
0;4.5;0.008998792321;0.009465394357;44.68732966
0;4.8;0.009047067997;0.009441256519;44.68732966
1;0;0.00819321593;0.01000578744;45.12766531
1;0.3;0.008314884856;0.009944952981;45.12766531
1;0.6;0.008401227426;0.009901781696;45.12766531
1;0.9;0.008361777633;0.009921506593;45.12766531
1;1.2;0.008360091879;0.00992234947;45.12766531
1;1.5;0.008401752316;0.009901519251;45.12766531
1;1.8;0.008510310447;0.009847240186;45.12766531
1;2.1;0.008554917476;0.009824936671;45.12766531
1;2.4;0.008593981237;0.009805404791;45.12766531
1;2.7;0.008619960105;0.009792415357;45.12766531
1;3;0.008577280134;0.009813755342;45.12766531
1;3.3;0.008797238358;0.00970377623;45.12766531
1;3.6;0.008904240017;0.009650275401;45.12766531
1;3.9;0.008966061958;0.009619364431;45.12766531
1;4.2;0.009100853241;0.009551968789;45.12766531
1;4.5;0.00909432201;0.009555234404;45.12766531
1;4.8;0.009183492478;0.009510649171;45.12766531
2;0;0.008000760442;0.01025757026;45.62544153
2;0.3;0.008148214055;0.01018384345;45.62544153
2;0.6;0.008285790041;0.01011505546;45.62544153
2;0.9;0.008345559312;0.01008517082;45.62544153
2;1.2;0.008338015515;0.01008894272;45.62544153
2;1.5;0.008358519904;0.01007869053;45.62544153
2;1.8;0.008347272933;0.01008431401;45.62544153
2;2.1;0.008376372958;0.010069764;45.62544153
2;2.4;0.008536810814;0.009989545072;45.62544153
2;2.7;0.00855113718;0.009982381889;45.62544153
2;3;0.00862694072;0.009944480119;45.62544153
2;3.3;0.008609293425;0.009953303767;45.62544153
2;3.6;0.008725887317;0.009895006821;45.62544153
2;3.9;0.008861663548;0.009827118705;45.62544153
2;4.2;0.008758703469;0.009878598745;45.62544153
2;4.5;0.008862639365;0.009826630797;45.62544153
2;4.8;0.008976653153;0.009769623903;45.62544153
3;0;0.007938459433;0.009823081149;44.13539477
3;0.3;0.007961013701;0.009811804015;44.13539477
3;0.6;0.008067266768;0.009758677481;44.13539477
3;0.9;0.008268386031;0.00965811785;44.13539477
3;1.2;0.008261478446;0.009661571642;44.13539477
3;1.5;0.00846533714;0.009559642295;44.13539477
3;1.8;0.008519797662;0.009532412035;44.13539477
3;2.1;0.008487171484;0.009548725123;44.13539477
3;2.4;0.008472759281;0.009555931225;44.13539477
3;2.7;0.008797459921;0.009393580905;44.13539477
3;3;0.008825021748;0.009379799992;44.13539477
3;3.3;0.008903676147;0.009340472792;44.13539477
3;3.6;0.009178230065;0.009203195833;44.13539477
3;3.9;0.009145398695;0.009219611518;44.13539477
3;4.2;0.009123778569;0.009230421581;44.13539477
3;4.5;0.009120643342;0.009231989195;44.13539477
3;4.8;0.0091820058;0.009201307966;44.13539477
4;0;0.008195083975;0.01028416822;46.02147267
4;0.3;0.008301916972;0.01023075172;46.02147267
4;0.6;0.008331074886;0.01021617277;46.02147267
4;0.9;0.00835930475;0.01020205784;46.02147267
4;1.2;0.0084118927;0.01017576386;46.02147267
4;1.5;0.008421680377;0.01017087002;46.02147267
4;1.8;0.008463313039;0.01015005369;46.02147267
4;2.1;0.008608871977;0.01007727422;46.02147267
4;2.4;0.008749813596;0.01000680341;46.02147267
4;2.7;0.008814470809;0.009974474806;46.02147267
4;3;0.008898291437;0.009932564492;46.02147267
4;3.3;0.008965153128;0.009899133647;46.02147267
4;3.6;0.00890632105;0.009928549686;46.02147267
4;3.9;0.008949602698;0.009906908862;46.02147267
4;4.2;0.00890110323;0.009931158596;46.02147267
4;4.5;0.008758485286;0.01000246757;46.02147267
4;4.8;0.008808328096;0.009977546163;46.02147267
5;0;0.008197790456;0.009938801045;44.92062807
5;0.3;0.008164631808;0.009955380369;44.92062807
5;0.6;0.008273355826;0.009901018359;44.92062807
5;0.9;0.008267650033;0.009903871256;44.92062807
5;1.2;0.00836652158;0.009854435482;44.92062807
5;1.5;0.008248122802;0.009913634871;44.92062807
5;1.8;0.008302299216;0.009886546664;44.92062807
5;2.1;0.008587156065;0.00974411824;44.92062807
5;2.4;0.008689653339;0.009692869603;44.92062807
5;2.7;0.008807810309;0.009633791118;44.92062807
5;3;0.008863378039;0.009606007253;44.92062807
5;3.3;0.008921988103;0.009576702221;44.92062807
5;3.6;0.008925201382;0.009575095582;44.92062807
5;3.9;0.008879767787;0.009597812379;44.92062807
5;4.2;0.008884757308;0.009595317619;44.92062807
5;4.5;0.008825131521;0.009625130512;44.92062807
5;4.8;0.008787082861;0.009644154842;44.92062807
6;0;0.008070096937;0.01020609004;45.57164322
