realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;368246.3428;9.871899714e-07;3.294701069e+12
0;2.5e-06;0.4911907469;0.5090894778;0.3973578517;368820.286;9.833598567e-07;3.274246216e+12
0;5e-06;1.963979705;1.992963122;1.547602847;364003.7719;9.762544047e-07;3.275410549e+12
0;7.5e-06;4.318996361;4.293010407;3.350287232;349960.3337;9.758514934e-07;3.277483864e+12
0;1e-05;7.323359268;7.11597692;5.660278142;330226.6175;9.766202737e-07;3.28107429e+12
0;1.25e-05;10.75384391;10.14583415;8.325538316;309676.3157;9.756326505e-07;3.285867128e+12
0;1.5e-05;14.44798003;13.18553662;11.22565309;289900.4839;9.765679259e-07;3.279166125e+12
0;1.75e-05;18.23950347;16.15992557;14.26869607;270149.4642;9.776488354e-07;3.271759378e+12
0;2e-05;21.96633893;19.03807695;17.38616275;252498.8923;9.762880671e-07;3.267659659e+12
0;2.25e-05;25.55077748;21.83287241;20.53368387;239028.4606;9.758044108e-07;3.240923354e+12
0;2.5e-05;29.05860789;24.54571859;23.68857928;226970.4627;9.767149818e-07;3.20885162e+12
0;2.75e-05;32.53415841;27.15858667;26.80384971;215306.1707;9.762757576e-07;3.185626999e+12
0;3e-05;35.90641486;29.70928141;29.80932745;203838.742;9.80294155e-07;3.204024675e+12
0;3.25e-05;39.09923252;32.22891707;32.64680965;193881.8392;9.808898676e-07;3.230267162e+12
0;3.5e-05;42.06109242;34.67631072;35.29975924;182516.8832;9.807785272e-07;3.225169725e+12
0;3.75e-05;44.81601185;37.0076271;37.76775406;172689.7558;9.802578311e-07;3.2358351e+12
0;4e-05;47.4333237;39.18268388;40.04795057;161042.3357;9.830430357e-07;3.22723284e+12
0;4.25e-05;49.91466314;41.16879418;42.18405226;158220.1042;9.802943721e-07;3.269362385e+12
0;4.5e-05;52.22955476;42.96222756;44.22155164;148755.6436;9.810265719e-07;3.277317829e+12
0;4.75e-05;54.35401846;44.5777888;46.15986054;143662.819;9.8120197e-07;3.284840522e+12
0;5e-05;56.2688961;46.05304604;47.97815999;137806.7528;9.848853723e-07;3.250466143e+12
0;5.25e-05;57.96367197;47.39502571;49.64339609;134427.2214;9.89645989e-07;3.228475469e+12
0;5.5e-05;59.49374592;48.59938345;51.07695261;128545.1634;9.858522896e-07;3.227257875e+12
0;5.75e-05;60.8376804;49.62550152;52.21751921;119282.9276;9.904993696e-07;3.211908075e+12
0;6e-05;61.90935007;50.43309956;53.13503578;115617.9612;9.876194346e-07;3.197238508e+12
0;6.25e-05;62.67164717;51.01723583;53.86046813;111280.6931;9.876261627e-07;3.175069822e+12
0;6.5e-05;63.12721957;51.37978834;54.3546982;108643.7703;9.914232832e-07;3.176913004e+12
