realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;178635.2746;9.871899714e-07;2.022941751e+10
0;2.5e-06;0.09551369782;0.0707186006;0.06507017023;179076.8562;9.833598567e-07;2.030366874e+10
0;5e-06;0.3841047283;0.2819209768;0.2604630165;179259.5673;9.762213356e-07;2.044603643e+10
0;7.5e-06;0.8668793525;0.6311353603;0.5859728257;178589.8281;9.759699178e-07;2.043486578e+10
0;1e-05;1.539428086;1.116435066;1.03942666;177439.3477;9.763510006e-07;2.039938376e+10
0;1.25e-05;2.396076475;1.73373433;1.617665636;175880.7373;9.758205929e-07;2.037295198e+10
0;1.5e-05;3.428766214;2.477731029;2.316344576;173805.5757;9.767140928e-07;2.030654749e+10
0;1.75e-05;4.628264103;3.34161092;3.130154708;171449.7506;9.755460265e-07;2.027404787e+10
0;2e-05;5.982743331;4.31745354;4.052582488;168476.8017;9.769206985e-07;2.01783062e+10
0;2.25e-05;7.478950464;5.395622568;5.076304678;165266.2583;9.753581387e-07;2.013496438e+10
0;2.5e-05;9.101920782;6.565880054;6.192758418;161467.7979;9.760933879e-07;2.003358343e+10
0;2.75e-05;10.83452626;7.815967015;7.393133838;157385.3319;9.752794593e-07;1.995964277e+10
0;3e-05;12.65905696;9.133987248;8.667181583;152812.6665;9.766933231e-07;1.983252876e+10
0;3.25e-05;14.55738349;10.5074055;10.00369775;148070.7227;9.75049339e-07;1.976067475e+10
0;3.5e-05;16.50900628;11.92356485;11.39100941;142815.9319;9.76729371e-07;1.961438813e+10
0;3.75e-05;18.49164063;13.36976823;12.81631475;137314.9421;9.766820832e-07;1.950229346e+10
0;4e-05;20.48529542;14.83110848;14.26730983;131522.2766;9.78237133e-07;1.935597946e+10
0;4.25e-05;22.47359735;16.29412905;15.73146068;125860.666;9.755387921e-07;1.929854476e+10
0;4.5e-05;24.43615599;17.74622262;17.19606814;119670.672;9.783843937e-07;1.913185489e+10
0;4.75e-05;26.35312205;19.17439725;18.64816024;113714.7446;9.758355937e-07;1.907752447e+10
0;5e-05;28.20854093;20.56563692;20.07593333;107642.2245;9.762289662e-07;1.896681381e+10
0;5.25e-05;29.97590212;21.9173363;21.4650425;101562.9487;9.802439667e-07;1.878971038e+10
0;5.5e-05;31.64245456;23.20948166;22.80636327;95845.86023;9.768825489e-07;1.877792964e+10
0;5.75e-05;33.19626558;24.41953697;24.09112774;90119.0211;9.758676318e-07;1.87198429e+10
0;6e-05;34.62090846;25.54614085;25.30943596;84958.94029;9.767997863e-07;1.8621311e+10
0;6.25e-05;35.90656232;26.58614834;26.45330471;80095.53652;9.75344626e-07;1.857725056e+10
0;6.5e-05;37.03533013;27.53333756;27.51030668;75475.49594;9.766133397e-07;1.848720154e+10
0;6.75e-05;37.99462143;28.37782274;28.4714811;71572.39041;9.746821173e-07;1.846770679e+10
0;7e-05;38.77423627;29.11125873;29.33325914;68025.90012;9.77130431e-07;1.836925837e+10
0;7.25e-05;39.36912665;29.72715993;30.09302263;65745.66365;9.758444211e-07;1.835704996e+10
0;7.5e-05;39.77795592;30.22066844;30.74790743;63780.87738;9.793884682e-07;1.824485487e+10
0;7.75e-05;40.00468887;30.59283966;31.29824012;63504.60694;9.760671155e-07;1.826720499e+10
0;8e-05;40.05578324;30.8485245;31.74431225;63304.46354;9.787700021e-07;1.816424306e+10
0;8.25e-05;39.93262785;30.98777123;32.08496538;64514.48875;9.760265771e-07;1.817485488e+10
0;8.5e-05;39.63941283;31.01434887;32.32118055;66161.34732;9.798773475e-07;1.807181618e+10
0;8.75e-05;39.18435196;30.92946771;32.4539906;69492.54372;9.760110346e-07;1.811426043e+10
0;9e-05;38.58046563;30.7405103;32.48890678;72869.92051;9.792325114e-07;1.804064379e+10
0;9.25e-05;37.83641952;30.45270155;32.42966282;77263.92296;9.799353414e-07;1.802362871e+10
0;9.5e-05;36.96590138;30.06101363;32.27832676;82274.00578;9.77244529e-07;1.808284085e+10
0;9.75e-05;35.98428209;29.578314;32.04186519;87082.18951;9.802781337e-07;1.804949988e+10
0;0.0001;34.90749566;29.01461058;31.72448533;92712.68772;9.764268044e-07;1.815496643e+10
0;0.0001025;33.75336407;28.38370259;31.33552351;97159.57701;9.806764161e-07;1.811270278e+10
