realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;310028.4254;9.871899714e-07;4.119775111e+11
0;2.5e-06;0.3090828839;0.2286797553;0.2695414048;310866.5688;9.833598567e-07;4.137507902e+11
0;5e-06;1.243718697;0.9153202462;1.072809748;312062.7871;9.763148012e-07;4.171061272e+11
0;7.5e-06;2.800778113;2.056797448;2.396932515;309137.8216;9.757693185e-07;4.166437604e+11
0;1e-05;4.93742832;3.631724533;4.216573713;303748.0357;9.768522737e-07;4.153854228e+11
0;1.25e-05;7.585751467;5.609400556;6.486107705;296520.6494;9.751635021e-07;4.144811755e+11
0;1.5e-05;10.64890598;7.947963513;9.133341491;286286.9235;9.770468087e-07;4.128891813e+11
0;1.75e-05;14.01211257;10.58238816;12.0691202;274192.0556;9.756564492e-07;4.112021665e+11
0;2e-05;17.56633949;13.42798703;15.19858837;260105.2972;9.783003667e-07;4.098254448e+11
0;2.25e-05;21.21543518;16.3877232;18.41974007;244869.9605;9.765018269e-07;4.091648157e+11
0;2.5e-05;24.88132184;19.39105842;21.64542056;230347.2411;9.775850867e-07;4.085202189e+11
0;2.75e-05;28.5000224;22.364553;24.81037487;214755.0249;9.787330154e-07;4.064848464e+11
0;3e-05;32.04365219;25.2384583;27.86928299;201454.5516;9.766754082e-07;4.060603274e+11
0;3.25e-05;35.49556693;27.97751375;30.79811544;188789.6291;9.777664642e-07;4.069027959e+11
0;3.5e-05;38.83347345;30.5511244;33.58444823;177796.2701;9.76672949e-07;4.074054536e+11
0;3.75e-05;42.02659632;32.96208398;36.22322268;167183.2975;9.772536722e-07;4.037731329e+11
0;4e-05;45.0304921;35.22026487;38.71004668;156902.6792;9.780013695e-07;4.012973191e+11
0;4.25e-05;47.82635399;37.3342994;41.04044983;147634.748;9.79379382e-07;3.987130695e+11
0;4.5e-05;50.41105301;39.30000301;43.20251643;137964.4832;9.784482588e-07;3.971584486e+11
0;4.75e-05;52.7521382;41.10715905;45.16900805;129613.167;9.839251121e-07;3.951405672e+11
0;5e-05;54.84269203;42.7424414;46.93350653;124811.8684;9.797834018e-07;4.024884349e+11
0;5.25e-05;56.70015328;44.20915993;48.52135175;121303.7325;9.775104557e-07;4.077660956e+11
0;5.5e-05;58.3120623;45.48443532;49.9525196;119173.9652;9.786498044e-07;4.085663416e+11
0;5.75e-05;59.69428968;46.5486221;51.24950138;117682.6673;9.751594488e-07;4.096814943e+11
0;6e-05;60.84853732;47.41221217;52.39933296;114830.6097;9.812842629e-07;4.079185561e+11
0;6.25e-05;61.76216073;48.05345003;53.36638013;112789.8114;9.805936095e-07;4.0916958e+11
0;6.5e-05;62.4378433;48.47007756;54.12757034;111114.7745;9.820504545e-07;4.099540137e+11
0;6.75e-05;62.8526895;48.70319091;54.65396967;110329.0598;9.843223386e-07;4.100501947e+11
0;7e-05;62.99502394;48.79029909;54.94067119;111408.5135;9.813711663e-07;4.110103935e+11
0;7.25e-05;62.87028261;48.73307337;55.0164732;114161.0963;9.85607677e-07;4.101565353e+11
0;7.5e-05;62.47870103;48.51633982;54.90629658;122985.1366;9.893704014e-07;4.108855779e+11
0;7.75e-05;61.8348955;48.14902847;54.61411443;130418.2133;9.844380747e-07;4.107093648e+11
0;8e-05;60.97617791;47.65262108;54.16326753;136972.2882;9.873443686e-07;4.080659154e+11
0;8.25e-05;59.9476133;47.02221103;53.55717649;141381.2997;9.820372285e-07;4.054042146e+11
0;8.5e-05;58.77054371;46.26225341;52.77850511;144268.7387;9.854301191e-07;4.002877819e+11
0;8.75e-05;57.45652278;45.38426654;51.82567927;146447.3277;9.848435412e-07;3.998015126e+11
0;9e-05;56.01480719;44.39579651;50.71424115;151751.0671;9.853764283e-07;4.008246043e+11
0;9.25e-05;54.47386533;43.34937453;49.50800598;158361.4277;9.853164733e-07;4.039167362e+11
0;9.5e-05;52.85221471;42.27600569;48.28083068;166053.2251;9.875318591e-07;4.043049025e+11
0;9.75e-05;51.16127238;41.1919748;47.10291153;172654.0598;9.90592023e-07;4.021696551e+11
0;0.0001;49.42400288;40.13759058;46.01824982;177084.0891;9.91560152e-07;4.005996836e+11
0;0.0001025;47.66134527;39.11142128;45.0058049;182612.6498;9.934112034e-07;3.971646888e+11
0;0.000105;45.91856979;38.09572786;44.02721049;188087.8862;9.896111263e-07;3.977557974e+11
0;0.0001075;44.23020122;37.11441826;43.05018671;192114.2441;9.928704817e-07;3.971148756e+11
0;0.00011;42.62434912;36.1981542;42.06433829;196189.0242;9.947347038e-07;3.983898815e+11
0;0.0001125;41.13328191;35.35509622;41.13552182;198585.7154;9.911897178e-07;3.998324633e+11
0;0.000115;39.77267026;34.60342545;40.35009754;201165.2667;9.964723097e-07;3.989849531e+11
0;0.0001175;38.53702834;33.93957864;39.73126914;204855.2092;9.901572325e-07;4.015754092e+11
0;0.00012;37.43766939;33.36918643;39.29680811;207599.3544;9.966379657e-07;3.977117324e+11
0;0.0001225;36.50637691;32.90776895;39.03292339;210403.0098;9.921338539e-07;3.989624634e+11
0;0.000125;35.76159596;32.55044145;38.90511285;213626.976;9.914044221e-07;4.003425823e+11
0;0.0001275;35.23226622;32.31004135;38.89884063;214961.831;9.93587653e-07;4.027150192e+11
0;0.00013;34.93244473;32.19682938;39.00783266;215600.9415;9.972455716e-07;4.045754913e+11
0;0.0001325;34.84928639;32.22420721;39.23255185;218781.3653;9.926248921e-07;4.055027985e+11
0;0.000135;34.98419075;32.40546759;39.58964954;220664.9411;9.953981216e-07;4.03275639e+11
0;0.0001375;35.35520204;32.75253296;40.09152463;221963.8272;9.917473384e-07;4.034977983e+11
0;0.00014;35.96225512;33.28403605;40.72965358;221930.5154;9.956385716e-07;4.007244368e+11
0;0.0001425;36.77597317;34.00447386;41.49817301;221397.7331;9.903962106e-07;4.016860871e+11
0;0.000145;37.75184094;34.89885925;42.3830649;219856.2345;9.951285663e-07;3.994094201e+11
0;0.0001475;38.84905743;35.93538764;43.35685084;216505.7418;9.957040046e-07;3.982383954e+11
0;0.00015;40.05946688;37.09380446;44.40661664;215507.2925;9.952404664e-07;4.002873279e+11
0;0.0001525;41.40140175;38.35396181;45.54188828;212706.6795;9.969702489e-07;3.99089001e+11
0;0.000155;42.88191974;39.69977156;46.77073051;209821.983;9.963438676e-07;3.997581933e+11
0;0.0001575;44.48291069;41.11747331;48.06124944;206397.1438;9.946256094e-07;4.022415718e+11
0;0.00016;46.18456479;42.56126464;49.3804004;201021.1457;9.931993619e-07;4.035148749e+11
0;0.0001625;47.98569738;43.96983534;50.70075159;194106.412;1.000578875e-06;3.989237611e+11
0;0.000165;49.86437962;45.35935345;51.97983732;190660.2369;9.973873396e-07;4.012230584e+11
0;0.0001675;51.78512345;46.75229756;53.1687665;185182.3054;9.942525951e-07;4.035917156e+11
0;0.00017;53.72979654;48.07479561;54.2456125;181570.7804;9.977601083e-07;4.029025072e+11
0;0.0001725;55.67912422;49.33459646;55.22750819;179009.4276;9.961311157e-07;4.035011077e+11
0;0.000175;57.60912516;50.55226868;56.13726395;174858.0837;9.99040944e-07;4.025280659e+11
0;0.0001775;59.48599752;51.71958887;57.00021783;170046.7031;9.970024619e-07;4.017593496e+11
0;0.00018;61.28686055;52.8390721;57.81429517;166184.666;9.97643131e-07;4.011198586e+11
0;0.0001825;63.01670536;53.90906916;58.56796356;163182.5988;1.002549008e-06;3.996197431e+11
0;0.000185;64.64250925;54.91477216;59.27001938;160457.9773;1.000597372e-06;3.99308429e+11
0;0.0001875;66.1051011;55.79398125;59.90149065;157464.5535;1.003582055e-06;3.979361951e+11
0;0.00019;67.36894892;56.50698503;60.45625642;155950.1583;1.000258582e-06;4.022483428e+11
0;0.0001925;68.46408823;57.08225402;60.95813822;154960.7803;1.000916594e-06;4.050535523e+11
0;0.000195;69.42677696;57.52906683;61.36781217;153572.7835;9.974566006e-07;4.063970447e+11
0;0.0001975;70.28220971;57.82789306;61.62023672;152436.6321;1.002719779e-06;4.023370626e+11
0;0.0002;71.01899619;58.0239278;61.74534264;149931.423;9.993519621e-07;4.011537362e+11
0;0.0002025;71.5818575;58.13474668;61.80937546;151357.1024;1.001947097e-06;4.03247144e+11
0;0.000205;71.94468139;58.15142998;61.83758579;150989.2022;1.005382247e-06;4.059091668e+11
0;0.0002075;72.11863567;58.08177416;61.78434123;149861.637;1.009401521e-06;4.047665956e+11
0;0.00021;72.13929253;57.92704619;61.6226355;150995.5337;1.001808587e-06;4.050617033e+11
0;0.0002125;72.04948779;57.70654195;61.35456562;150934.1189;1.008472238e-06;3.993049784e+11
0;0.000215;71.84744436;57.44009592;61.00461264;153079.269;1.005943433e-06;3.953193627e+11
0;0.0002175;71.51667391;57.18301094;60.60679236;154180.8184;1.00913909e-06;3.925412048e+11
0;0.00022;71.04028496;56.97286596;60.17681657;155779.1686;1.015340185e-06;3.876088324e+11
0;0.0002225;70.40452155;56.80896112;59.73034662;159144.2926;1.010175481e-06;3.918385528e+11
0;0.000225;69.64929406;56.6569837;59.25170743;163789.6631;1.008236928e-06;3.942188257e+11
0;0.0002275;68.8033106;56.48180371;58.74324865;166758.7031;1.017039137e-06;3.936629888e+11
0;0.00023;67.85518646;56.26956255;58.22145804;171194.497;1.010375832e-06;3.93061931e+11
0;0.0002325;66.81461679;56.04034359;57.67461004;176091.648;1.015697318e-06;3.933064092e+11
0;0.000235;65.72228299;55.80950128;57.10987232;179451.3737;1.011347785e-06;3.933666256e+11
0;0.0002375;64.61804064;55.52930947;56.5301574;180823.9738;1.013479506e-06;3.907510939e+11
0;0.00024;63.51495192;55.15908923;55.95209598;183667.7174;1.016088703e-06;3.886440565e+11
0;0.0002425;62.41351307;54.73713114;55.39654027;186647.6529;1.017243861e-06;3.893504538e+11
0;0.000245;61.33659475;54.32316134;54.84765829;190602.5713;1.024923219e-06;3.861725134e+11
0;0.0002475;60.33220578;53.95698801;54.31230116;195619.7229;1.0258451e-06;3.891787363e+11
0;0.00025;59.43077665;53.67274987;53.80664307;198912.8151;1.030829384e-06;3.88130135e+11
0;0.0002525;58.60039879;53.47907541;53.35397079;201057.9103;1.023106518e-06;3.877112559e+11
0;0.000255;57.85459488;53.37239178;52.98456367;203059.0593;1.029719969e-06;3.854561541e+11
0;0.0002575;57.23061139;53.35198059;52.72527618;205619.6873;1.025175509e-06;3.908248354e+11
0;0.00026;56.7453596;53.42663186;52.57965327;206979.1684;1.030645442e-06;3.91234665e+11
