realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;214852.1714;9.871899714e-07;3.577838334e+10
0;2.5e-06;0.1261233818;0.1004998035;0.1121491189;215703.6799;9.833598567e-07;3.590967356e+10
0;5e-06;0.5069493565;0.4018326183;0.4507974865;216707.0904;9.762627738e-07;3.616903452e+10
0;7.5e-06;1.143881357;0.9021602811;1.01666529;215850.2673;9.758721389e-07;3.613863908e+10
0;1e-05;2.0310292;1.597822514;1.804567816;214306.4129;9.765042328e-07;3.604524802e+10
0;1.25e-05;3.160481807;2.482252522;2.807227304;212189.9503;9.762340918e-07;3.595875567e+10
0;1.5e-05;4.52203356;3.546874432;4.014832104;209513.5861;9.765047789e-07;3.582770896e+10
0;1.75e-05;6.102455408;4.780368982;5.415075728;206170.3043;9.764801662e-07;3.569109467e+10
0;2e-05;7.886891433;6.170805746;6.993895622;202575.9189;9.75785646e-07;3.555298642e+10
0;2.25e-05;9.858508519;7.703535471;8.735698531;198255.6037;9.749772704e-07;3.540055056e+10
0;2.5e-05;11.99676074;9.3614105;10.62249173;193449.4161;9.758856848e-07;3.518256496e+10
0;2.75e-05;14.27867114;11.1261723;12.63440975;188063.6101;9.759557158e-07;3.499037516e+10
0;3e-05;16.68135132;12.98100001;14.74998835;182570.3274;9.751648207e-07;3.480741208e+10
0;3.25e-05;19.17767297;14.90359627;16.9449945;176069.1464;9.760680565e-07;3.457093015e+10
0;3.5e-05;21.73698476;16.86409652;19.19216028;169063.2517;9.746358759e-07;3.434348735e+10
0;3.75e-05;24.32539983;18.84188815;21.46237922;161544.0347;9.75145919e-07;3.40130307e+10
0;4e-05;26.91265711;20.81938961;23.73133796;154052.1254;9.740641717e-07;3.37504507e+10
0;4.25e-05;29.47305261;22.77423758;25.97618988;146214.4444;9.743058723e-07;3.34699497e+10
0;4.5e-05;31.98158052;24.68900126;28.17266755;138606.4895;9.732185828e-07;3.324427114e+10
0;4.75e-05;34.40940782;26.55267301;30.29853456;130791.2401;9.781076957e-07;3.288324313e+10
0;5e-05;36.73211005;28.34258299;32.33332214;123563.3563;9.751016091e-07;3.273392926e+10
