realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;56533903.05;9.970862891e-10;4.565308788e+15
0;1e-07;17.13724683;18.15200128;14.68590778;56499802.11;9.956632946e-10;4.571676455e+15
0;2e-07;67.61049858;71.00837701;57.61510413;55030997.06;9.960818167e-10;4.571386362e+15
0;3e-07;145.3486006;150.4089173;121.3971818;50600618.17;9.974483159e-10;4.561630223e+15
0;4e-07;235.7536137;241.2732744;193.3667134;44548275.66;9.933226649e-10;4.592160315e+15
0;5e-07;323.5802547;331.3253059;263.976579;38752920.03;1.000971694e-09;4.525311977e+15
0;6e-07;403.7616151;416.0276802;329.0345671;34339004.68;1.002809567e-09;4.486765143e+15
0;7e-07;475.6488412;494.8334067;388.1349755;30873802.73;1.008488808e-09;4.451320203e+15
0;8e-07;538.9073908;566.8264962;441.6041534;28439045.66;1.012253603e-09;4.432048366e+15
0;9e-07;595.1548141;631.2487374;488.4916486;26373668.9;1.01524593e-09;4.453529027e+15
0;1e-06;644.4180217;688.771813;528.1849818;23853271.57;1.009064724e-09;4.463850429e+15
0;1.1e-06;686.0229702;738.6820491;561.5165401;21837739.97;1.00844765e-09;4.478029436e+15
0;1.2e-06;719.0975726;779.0518118;588.5228262;20055336.86;1.01397052e-09;4.465605665e+15
0;1.3e-06;743.1811879;809.4069094;609.0133124;18513134.81;1.01273073e-09;4.430343412e+15
0;1.4e-06;759.9764444;829.8389795;622.8815578;17793121.39;1.017893948e-09;4.414325327e+15
0;1.5e-06;770.3604702;840.4672804;628.7038053;17925535.13;1.02692489e-09;4.381689198e+15
0;1.6e-06;773.4412121;840.5241032;627.6088458;18583913.92;1.047882127e-09;4.30268628e+15
0;1.7e-06;770.0882547;831.9853225;621.2347844;19586457.79;1.048675498e-09;4.269005625e+15
0;1.8e-06;762.1133146;817.8749984;609.9459181;21684831.24;1.050180351e-09;4.239932328e+15
0;1.9e-06;750.3013571;800.0056441;595.969748;24167776.46;1.062356827e-09;4.222275951e+15
0;2e-06;734.8239403;778.9850298;581.0665097;25310212.63;1.060193743e-09;4.268377613e+15
0;2.1e-06;716.2094079;754.2890225;565.5228726;26311920.4;1.059237716e-09;4.298922065e+15
0;2.2e-06;696.286079;726.0798616;549.8161396;27289197.54;1.053658322e-09;4.315975257e+15
0;2.3e-06;675.2315208;695.5049012;535.1487373;28682752.08;1.054251825e-09;4.279358227e+15
0;2.4e-06;654.0979789;664.801422;521.8386529;30111554.74;1.062054061e-09;4.185890496e+15
0;2.5e-06;634.3214352;634.6164477;509.8764095;31471680.77;1.06416951e-09;4.17998006e+15
0;2.6e-06;617.3263689;606.5759131;500.9343563;32943808.85;1.068117548e-09;4.206166937e+15
0;2.7e-06;604.687308;584.6389852;496.4714604;34269394.11;1.075084677e-09;4.229353671e+15
0;2.8e-06;596.8019104;572.4847323;497.5432221;34716881.35;1.096273557e-09;4.132296962e+15
0;2.9e-06;594.8737388;567.8751717;504.1574148;35195755.54;1.100171608e-09;4.091974839e+15
0;3e-06;598.3748803;570.8568897;516.435571;35351711.39;1.100858874e-09;4.078547633e+15
0;3.1e-06;607.9501173;583.3136599;532.50863;35701261.95;1.113263001e-09;4.069735032e+15
