realization;time;v_x_sq;v_y_sq;v_z_sq;<E>;cell_vol;rho_norm
0;0;0;0;0;35137.56184;1;92694464.5
0;2.6e-06;0.003067872944;0.002907131469;0.003014501539;35137.56184;1;92694464.5
0;5.2e-06;0.01213994988;0.0114743644;0.01194520212;35139.28818;1;92694464.51
0;7.8e-06;0.02727968392;0.02575501963;0.02679514562;35144.41045;1;92694464.54
0;1.04e-05;0.04856904239;0.04580049005;0.04753540672;35152.93948;1;92694464.59
0;1.3e-05;0.07580077144;0.07158523971;0.07445763525;35164.89363;1;92694464.65
0;1.56e-05;0.1092938994;0.1030653255;0.1073128425;35180.28066;1;92694464.74
0;1.82e-05;0.1489342116;0.1403419157;0.1462021122;35199.09521;1;92694464.84
0;2.08e-05;0.1947355544;0.1835689486;0.1909842377;35221.35122;1;92694464.97
0;2.34e-05;0.2464215855;0.2326939271;0.2420585011;35247.04924;1;92694465.11
0;2.6e-05;0.3046667763;0.287601845;0.2989154723;35276.19695;1;92694465.28
0;2.86e-05;0.3689949549;0.3482276983;0.3621885226;35308.79273;1;92694465.46
0;3.12e-05;0.4393238707;0.414930824;0.4316739182;35344.83914;1;92694465.67
0;3.38e-05;0.5155896849;0.4877076299;0.5075141471;35384.34808;1;92694465.89
0;3.64e-05;0.5982913451;0.5664177164;0.589433509;35427.32522;1;92694466.14
0;3.9e-05;0.6879939439;0.6510270489;0.6770100467;35473.7688;1;92694466.41
0;4.16e-05;0.7838265788;0.7415879141;0.7711537438;35523.68639;1;92694466.7
0;4.42e-05;0.8857795837;0.8382527156;0.8718211301;35577.08576;1;92694467.02
0;4.68e-05;0.9945133968;0.9409215401;0.9785755768;35633.96574;1;92694467.35
0;4.94e-05;1.108996342;1.050098421;1.092064636;35694.34078;1;92694467.71
0;5.2e-05;1.230629932;1.165557622;1.211248315;35758.20977;1;92694468.09
0;5.46e-05;1.359287382;1.286875795;1.336807782;35825.58161;1;92694468.49
0;5.72e-05;1.494212743;1.414024777;1.469670774;35896.46354;1;92694468.91
0;5.98e-05;1.635771425;1.548453501;1.608167465;35970.86166;1;92694469.35
0;6.24e-05;1.784264481;1.688379792;1.753951461;36048.78151;1;92694469.82
0;6.5e-05;1.938988084;1.835309289;1.906376619;36130.22877;1;92694470.31
0;6.76e-05;2.101408254;1.988291993;2.06509824;36215.21033;1;92694470.82
0;7.02e-05;2.270263553;2.1483168;2.230570509;36303.74367;1;92694471.37
0;7.28e-05;2.445997921;2.314576082;2.403349151;36395.82331;1;92694471.93
0;7.54e-05;2.628822954;2.487488412;2.583007909;36491.46589;1;92694472.53
0;7.8e-05;2.818617242;2.666513929;2.770404274;36590.68315;1;92694473.15
0;8.06e-05;3.015679488;2.853883192;2.963231932;36693.47885;1;92694473.8
0;8.32e-05;3.219764905;3.04719844;3.16434438;36799.86786;1;92694474.48
0;8.58e-05;3.432440354;3.247342328;3.371526266;36909.85543;1;92694475.19
0;8.84e-05;3.652249624;3.455239891;3.585554061;37023.45369;1;92694475.93
0;9.1e-05;3.877825094;3.670445448;3.80847876;37140.67703;1;92694476.69
0;9.36e-05;4.111638305;3.893148198;4.03790423;37261.53023;1;92694477.49
0;9.62e-05;4.352817896;4.122103409;4.276206888;37386.02873;1;92694478.32
0;9.88e-05;4.604158381;4.357694566;4.520479594;37514.18187;1;92694479.18
0;0.0001014;4.861317336;4.601125892;4.774145193;37646.00479;1;92694480.07
0;0.000104;5.127531045;4.853105782;5.033531818;37781.51298;1;92694481
0;0.0001066;5.401054694;5.112903531;5.301427223;37920.71331;1;92694481.96
0;0.0001092;5.684845768;5.379164859;5.576536596;38063.62343;1;92694482.95
0;0.0001118;5.976018904;5.65236653;5.861593668;38210.25673;1;92694483.99
0;0.0001144;6.274371111;5.93438265;6.155251855;38360.63577;1;92694485.06
0;0.000117;6.581639434;6.224851894;6.456476114;38514.76522;1;92694486.16
0;0.0001196;6.89841404;6.523051843;6.765742389;38672.65742;1;92694487.31
0;0.0001222;7.222932289;6.829643686;7.084507484;38834.33656;1;92694488.5
0;0.0001248;7.556141436;7.144041456;7.412771367;38999.8166;1;92694489.73
0;0.0001274;7.898644058;7.466794659;7.749767348;39169.11541;1;92694491.01
0;0.00013;8.248363809;7.801243581;8.094621182;39342.24556;1;92694492.33
0;0.0001326;8.609415859;8.142802099;8.448201067;39519.22107;1;92694493.7
0;0.0001352;8.97937687;8.493364796;8.811441087;39700.05841;1;92694495.12
0;0.0001378;9.357625126;8.853984492;9.184327164;39884.77353;1;92694496.58
0;0.0001404;9.749888665;9.220771384;9.565448976;40073.38746;1;92694498.09
0;0.000143;10.14906662;9.596526384;9.959546448;40265.92039;1;92694499.65
0;0.0001456;10.55934844;9.984537716;10.35959667;40462.39116;1;92694501.27
0;0.0001482;10.97752179;10.38275699;10.77132434;40662.81482;1;92694502.94
0;0.0001508;11.40469403;10.7912777;11.19400757;40867.2125;1;92694504.67
0;0.0001534;11.84375717;11.208348;11.62699124;41075.5965;1;92694506.47
0;0.000156;12.29563321;11.63446923;12.0693516;41287.99497;1;92694508.32
0;0.0001586;12.75849612;12.07146023;12.52160779;41504.4255;1;92694510.24
0;0.0001612;13.22960647;12.52075573;12.98558168;41724.90984;1;92694512.23
0;0.0001638;13.71147686;12.98006618;13.46158847;41949.47655;1;92694514.28
0;0.0001664;14.20739103;13.44853637;13.94775009;42178.14164;1;92694516.41
0;0.000169;14.71327823;13.92724076;14.44762778;42410.92888;1;92694518.61
0;0.0001716;15.23056641;14.41961543;14.95692954;42647.86959;1;92694520.89
0;0.0001742;15.76300958;14.92091453;15.4772362;42888.97411;1;92694523.24
0;0.0001768;16.30823842;15.43389459;16.00876602;43134.26976;1;92694525.67
0;0.0001794;16.86326214;15.95915329;16.55451991;43383.781;1;92694528.19
0;0.000182;17.43201809;16.49242129;17.1154702;43637.53156;1;92694530.8
0;0.0001846;18.01061213;17.04336646;17.68648413;43895.54309;1;92694533.49
0;0.0001872;18.60323127;17.60638985;18.26962582;44157.84151;1;92694536.28
0;0.0001898;19.21019503;18.18121021;18.86554255;44424.45289;1;92694539.16
0;0.0001924;19.83102012;18.76957177;19.47366261;44695.40373;1;92694542.14
0;0.000195;20.46495947;19.36970234;20.0972103;44970.72682;1;92694545.22
0;0.0001976;21.11118723;19.98453796;20.73478769;45250.44924;1;92694548.41
0;0.0002002;21.77155809;20.61180005;21.38756178;45534.58388;1;92694551.7
0;0.0002028;22.44654409;21.25346607;22.05383095;45823.16354;1;92694555.11
0;0.0002054;23.14080099;21.90493281;22.73431224;46116.21427;1;92694558.63
0;0.000208;23.84774718;22.57335213;23.42922459;46413.77028;1;92694562.27
0;0.0002106;24.57067475;23.25667957;24.13811843;46715.86278;1;92694566.04
0;0.0002132;25.30807934;23.9553726;24.86286336;47022.5129;1;92694569.94
0;0.0002158;26.06290616;24.6685255;25.60225919;47333.75389;1;92694573.98
0;0.0002184;26.83159621;25.39589565;26.36096345;47649.61606;1;92694578.15
0;0.000221;27.6166956;26.1398048;27.13498269;47970.1319;1;92694582.47
0;0.0002236;28.41879014;26.9021492;27.92273336;48295.33522;1;92694586.93
0;0.0002262;29.24091102;27.68092172;28.72409687;48625.24836;1;92694591.55
0;0.0002288;30.08024937;28.47257027;29.54637483;48959.90392;1;92694596.33
0;0.0002314;30.9348323;29.28129449;30.38829651;49299.34404;1;92694601.28
0;0.000234;31.80786406;30.10972885;31.24498948;49643.59747;1;92694606.41
0;0.0002366;32.70448934;30.95142979;32.11875154;49992.69626;1;92694611.71
0;0.0002392;33.61395106;31.81416146;33.01358536;50346.67307;1;92694617.21
0;0.0002418;34.54150589;32.69385188;33.9293413;50705.55975;1;92694622.9
0;0.0002444;35.49260069;33.59120182;34.86093132;51069.3964;1;92694628.79
0;0.000247;36.45882909;34.50716526;35.81688794;51438.22053;1;92694634.88
0;0.0002496;37.44527099;35.44755877;36.78741566;51812.05983;1;92694641.19
0;0.0002522;38.45352933;36.40304662;37.78137422;52190.95126;1;92694647.72
0;0.0002548;39.485076;37.38417118;38.78789603;52574.93787;1;92694654.47
0;0.0002574;40.54013833;38.38058168;39.8182775;52964.0489;1;92694661.46
0;0.00026;41.6143497;39.39844352;40.8719176;53358.32568;1;92694668.7
0;0.0002626;42.71189234;40.43880969;41.94479636;53757.80637;1;92694676.19
0;0.0002652;43.82830574;41.49913444;43.04517371;54162.52886;1;92694683.94
0;0.0002678;44.96586614;42.58460925;44.16685479;54572.53259;1;92694691.96
0;0.0002704;46.13319174;43.68743695;45.31032092;54987.85809;1;92694700.27
0;0.000273;47.32268852;44.81371405;46.47839832;55408.54508;1;92694708.87
0;0.0002756;48.53270967;45.96227351;47.67524569;55834.63314;1;92694717.79
0;0.0002782;49.76920284;47.13698701;48.8924278;56266.15656;1;92694727.01
0;0.0002808;51.03528921;48.33207639;50.13401276;56703.16364;1;92694736.56
0;0.0002834;52.32599614;49.554178;51.3997734;57145.69713;1;92694746.47
0;0.000286;53.64466814;50.79962779;52.69150381;57593.80005;1;92694756.73
0;0.0002886;54.98657266;52.07376765;54.01009336;58047.52305;1;92694767.35
0;0.0002912;56.3517765;53.3761557;55.35745039;58506.90298;1;92694778.35
0;0.0002938;57.74759479;54.70253987;56.73206771;58971.98676;1;92694789.75
0;0.0002964;59.17491422;56.0503293;58.13723929;59442.8223;1;92694801.56
0;0.000299;60.63657216;57.42891097;59.56236539;59919.45076;1;92694813.81
0;0.0003016;62.1196192;58.83383834;61.0265005;60401.92132;1;92694826.5
0;0.0003042;63.63384891;60.27010103;62.51655064;60890.27574;1;92694839.64
0;0.0003068;65.17475604;61.73496961;64.04148206;61384.56827;1;92694853.24
0;0.0003094;66.75580443;63.22843097;65.58960079;61884.8448;1;92694867.34
0;0.000312;68.36699717;64.75630253;67.16688231;62391.15611;1;92694881.96
0;0.0003146;70.00654831;66.31552137;68.78001082;62903.55092;1;92694897.1
0;0.0003172;71.68376646;67.89841438;70.42922188;63422.08596;1;92694912.78
0;0.0003198;73.38985677;69.52056209;72.10964129;63946.8048;1;92694929.04
0;0.0003224;75.13363311;71.17193487;73.8244331;64477.75397;1;92694945.91
0;0.000325;76.91040449;72.8628489;75.56995366;65014.98095;1;92694963.39
0;0.0003276;78.72393858;74.58523934;77.35252935;65558.55084;1;92694981.51
0;0.0003302;80.57836441;76.33518857;79.17401569;66108.51308;1;92695000.29
0;0.0003328;82.46786117;78.12347009;81.03156935;66664.91104;1;92695019.76
0;0.0003354;84.3977183;79.94536501;82.92677362;67227.80464;1;92695039.95
0;0.000338;86.36534155;81.8052167;84.86007645;67797.24452;1;92695060.88
0;0.0003406;88.36678346;83.70542876;86.83525812;68373.29021;1;92695082.57
0;0.0003432;90.41678768;85.64595745;88.83990487;68956.00027;1;92695105.07
0;0.0003458;92.50181599;87.62822696;90.88846104;69545.42835;1;92695128.41
0;0.0003484;94.63427865;89.64249924;92.98063542;70141.63034;1;92695152.61
0;0.000351;96.8091613;91.69716567;95.11547449;70744.66338;1;92695177.71
0;0.0003536;99.0277645;93.79408337;97.29229656;71354.58139;1;92695203.73
0;0.0003562;101.2889615;95.9402902;99.50771727;71971.4545;1;92695230.73
0;0.0003588;103.5857095;98.12849475;101.7786415;72595.3386;1;92695258.71
0;0.0003614;105.9422089;100.3592095;104.0829864;73226.29003;1;92695287.76
0;0.000364;108.3422932;102.6275794;106.4444488;73864.3751;1;92695317.91
0;0.0003666;110.7800638;104.9477933;108.8574761;74509.65005;1;92695349.19
0;0.0003692;113.2703775;107.3164787;111.3133766;75162.18469;1;92695381.66
0;0.0003718;115.8190724;109.7269821;113.8158089;75822.04436;1;92695415.34
0;0.0003744;118.41942;112.1895947;116.3641058;76489.2837;1;92695450.25
0;0.000377;121.0673619;114.6990213;118.970586;77163.97258;1;92695486.48
0;0.0003796;123.7697647;117.2628487;121.6238221;77846.17436;1;92695524.09
0;0.0003822;126.5319643;119.8757247;124.3269026;78535.95495;1;92695563.12
0;0.0003848;129.3463861;122.539512;127.0886869;79233.38109;1;92695603.6
0;0.0003874;132.2119182;125.2655156;129.9021841;79938.52751;1;92695645.64
0;0.00039;135.1273522;128.0459403;132.7796649;80651.46372;1;92695689.26
0;0.0003926;138.1126884;130.8714615;135.7137906;81372.24692;1;92695734.52
0;0.0003952;141.1534688;133.7567277;138.7077697;82100.95751;1;92695781.47
0;0.0003978;144.2571746;136.695894;141.7634319;82837.66313;1;92695830.22
0;0.0004004;147.4219066;139.6998975;144.8752828;83582.43732;1;92695880.83
0;0.000403;150.653122;142.7557956;148.0544183;84335.34635;1;92695933.35
0;0.0004056;153.9470334;145.8748254;151.2970655;85096.47277;1;92695987.87
0;0.0004082;157.306604;149.0628342;154.5981729;85865.88106;1;92696044.44
0;0.0004108;160.7398146;152.3029847;157.9704284;86643.64936;1;92696103.16
0;0.0004134;164.235306;155.6110358;161.4133429;87429.86077;1;92696164.09
0;0.000416;167.808623;158.9866324;164.9157128;88224.58212;1;92696227.28
0;0.0004186;171.4452591;162.4330219;168.4928602;89027.89105;1;92696292.93
0;0.0004212;175.151925;165.9486649;172.1437571;89839.87511;1;92696361.06
0;0.0004238;178.9357191;169.5263003;175.8728012;90660.6063;1;92696431.75
0;0.0004264;182.7858892;173.1866131;179.6743652;91490.16342;1;92696505.19
0;0.000429;186.723256;176.9153863;183.5462521;92328.62979;1;92696581.44
0;0.0004316;190.7389924;180.7164405;187.497955;93176.08154;1;92696660.62
0;0.0004342;194.83948;184.5910629;191.5263869;94032.60466;1;92696742.8
0;0.0004368;199.0188695;188.5475642;195.633755;94898.28067;1;92696828.12
0;0.0004394;203.277537;192.5827523;199.8276396;95773.20133;1;92696916.73
0;0.000442;207.628448;196.6935615;204.1029968;96657.45356;1;92697008.75
0;0.0004446;212.0638718;200.8904508;208.4620546;97551.11708;1;92697104.25
0;0.0004472;216.5914021;205.171573;212.9041157;98454.27305;1;92697203.41
0;0.0004498;221.2102997;209.5436542;217.4283541;99367.01108;1;92697306.41
0;0.0004524;225.9095548;214.002194;222.0555354;100289.4211;1;92697413.35
0;0.000455;230.7059172;218.554263;226.7671983;101221.5928;1;92697524.38
0;0.0004576;235.602345;223.1891452;231.5765795;102163.6199;1;92697639.63
0;0.0004602;240.5935806;227.9222299;236.4791214;103115.5992;1;92697759.3
0;0.0004628;245.6834191;232.7502363;241.4799967;104077.6184;1;92697883.52
0;0.0004654;250.8732468;237.6718932;246.5848944;105049.7762;1;92698012.59
0;0.000468;256.1704403;242.6880611;251.7914947;106032.1578;1;92698146.63
0;0.0004706;261.5772593;247.798988;257.1032189;107023.4234;1;92697912.63
0;0.0004732;267.0932273;253.0143724;262.5165467;108020.9986;1;92696586.56
0;0.0004758;272.7169829;258.3373094;268.0350003;109021.7478;1;92693325.46
0;0.0004784;278.4477747;263.7618514;273.6697947;110019.4865;1;92686434.79
0;0.000481;284.2993935;269.2870997;279.410701;110998.4216;1;92671573.54
0;0.0004836;290.2470168;274.9174687;285.2786873;111951.3736;1;92646787.51
0;0.0004862;296.3158596;280.6652532;291.2365145;112883.4679;1;92613625.82
0;0.0004888;302.4991994;286.5144312;297.307423;113793.171;1;92571711.29
0;0.0004914;308.7922095;292.4716037;303.488912;114670.5847;1;92518428.46
0;0.000494;315.1946665;298.5429646;309.7733102;115517.1174;1;92454265.88
0;0.0004966;321.720996;304.7164178;316.1548139;116313.9317;1;92374099.17
0;0.0004992;328.3345578;310.992472;322.6658435;117079.3955;1;92282983.21
0;0.0005018;335.0579378;317.3742818;329.2790819;117819.5261;1;92182619.59
0;0.0005044;341.8898623;323.8641283;335.9912484;118522.5259;1;92070108.43
0;0.000507;348.8382357;330.447516;342.8055894;119190.8201;1;91946006.59
0;0.0005096;355.8861773;337.1496385;349.7095081;119815.6785;1;91808005.62
0;0.0005122;363.036007;343.9469775;356.7193814;120403.6108;1;91658170.23
0;0.0005148;370.2838914;350.847373;363.8278063;120964.3432;1;91499085.96
0;0.0005174;377.6299999;357.8366854;371.0452832;121489.3139;1;91328645.19
0;0.00052;385.0663555;364.9247673;378.3656828;121980.2742;1;91147224.18
0;0.0005226;392.5960628;372.1153731;385.7766833;122425.2326;1;90951685.38
0;0.0005252;400.2339865;379.3824336;393.282073;122820.3063;1;90741082.04
0;0.0005278;407.9503854;386.7491792;400.8810376;123174.7032;1;90517938.43
0;0.0005304;415.7715248;394.1954445;408.5606295;123486.7604;1;90281968.64
0;0.000533;423.6780227;401.7378385;416.3164952;123756.6441;1;90033362.55
0;0.0005356;431.6649111;409.3584749;424.1645917;123988.8049;1;89773300.47
0;0.0005382;439.7420281;417.0556322;432.0901123;124183.3934;1;89501860.11
0;0.0005408;447.8975911;424.8388392;440.0884815;124341.0625;1;89219385.08
0;0.0005434;456.1216645;432.6988947;448.1717713;124460.448;1;88925384.07
0;0.000546;464.4258144;440.6297027;456.3262465;124534.3852;1;88617835.55
0;0.0005486;472.8277496;448.6136052;464.5439937;124577.5587;1;88300807.27
0;0.0005512;481.289164;456.6670895;472.8400664;124587.8207;1;87973809.07
0;0.0005538;489.8075734;464.7966258;481.2023816;124554.5233;1;87634233.07
0;0.0005564;498.3990468;473.0009196;489.6075146;124484.3109;1;87283653.1
0;0.000559;507.0407983;481.2666841;498.0835425;124379.7488;1;86922966.09
0;0.0005616;515.7468147;489.5690366;506.6339539;124246.8336;1;86553858.36
0;0.0005642;524.5246905;497.9289757;515.2235174;124089.8459;1;86177613.97
0;0.0005668;533.3451926;506.3432147;523.8780751;123903.7458;1;85792835.37
0;0.0005694;542.2185148;514.817521;532.5739601;123685.4212;1;85398701.91
0;0.000572;551.1315984;523.3363901;541.3321074;123439.8491;1;84996597.92
0;0.0005746;560.1034986;531.9017255;550.1244603;123169.6641;1;84587486.42
0;0.0005772;569.1165482;540.5154437;558.9582752;122859.7564;1;84167201.43
0;0.0005798;578.1729451;549.165373;567.8334686;122513.0906;1;83736545.95
0;0.0005824;587.2576864;557.8625452;576.7436122;122125.8652;1;83294589.06
0;0.000585;596.3879241;566.5812954;585.6863286;121700.3587;1;82842138.78
0;0.0005876;605.5338127;575.349028;594.6544217;121246.16;1;82381443
0;0.0005902;614.717906;584.1311511;603.6511838;120763.1738;1;81912581.11
0;0.0005928;623.9339129;592.9367539;612.6646995;120250.0438;1;81435422.04
0;0.0005954;633.1602725;601.7645772;621.7075522;119699.5626;1;80947769.95
0;0.000598;642.3903539;610.6243096;630.7657898;119115.0251;1;80450626.51
0;0.0006006;651.6470905;619.4895206;639.833316;118506.0152;1;79946770.87
0;0.0006032;660.9126707;628.3772348;648.9025716;117873.9187;1;79436304.79
0;0.0006058;670.1765814;637.2851438;657.9776175;117214.193;1;78918004.96
